performance_score,unused-javascript,total-byte-weight,resource_image_bytes,resource_font_bytes,unused-css-rules,unused-javascript_savings_bytes,resource_third-party_bytes,category,strategy
0.5,460.0,3143159.0,157378.0,130620.0,1220.0,868704.0,2567678.0,Retail & Ecommerce,mobile
0.67,390.0,1797395.0,154401.0,59672.0,1150.0,555197.0,1221921.0,Retail & Ecommerce,mobile
1.0,0.0,11999.0,0.0,0.0,0.0,0.0,0.0,Retail & Ecommerce,mobile
0.7,150.0,1168489.0,572637.0,0.0,0.0,222822.0,483160.0,Retail & Ecommerce,mobile
0.28,3510.0,81074734.0,11042286.0,66757.0,0.0,1068904.0,81044729.0,Retail & Ecommerce,mobile
0.33,5020.0,4918942.0,271077.0,1216481.0,0.0,2154365.0,1606509.0,Retail & Ecommerce,mobile
0.35,450.0,8407499.0,526088.0,1287447.0,0.0,2250839.0,4813562.0,Retail & Ecommerce,mobile
0.3,1050.0,8321516.0,306906.0,1287441.0,0.0,2282386.0,4976481.0,Retail & Ecommerce,mobile
0.27,1950.0,8748076.0,627032.0,1301872.0,0.0,2291867.0,4822913.0,Retail & Ecommerce,mobile
0.27,5520.0,8239147.0,346096.0,1301873.0,0.0,2120508.0,4551868.0,Retail & Ecommerce,mobile
0.3,2850.0,7968304.0,45892.0,1344745.0,0.0,2179876.0,4879211.0,Retail & Ecommerce,mobile
0.38,450.0,8519543.0,481993.0,1287440.0,0.0,2307247.0,5008217.0,Retail & Ecommerce,mobile
0.31,4480.0,8143641.0,275859.0,1287441.0,0.0,2142153.0,4669017.0,Retail & Ecommerce,mobile
0.33,300.0,15383903.0,432186.0,226129.0,0.0,427997.0,14059489.0,Retail & Ecommerce,mobile
0.5,300.0,3919490.0,1242368.0,266113.0,0.0,509658.0,2580466.0,Retail & Ecommerce,mobile
0.48,150.0,7689059.0,992855.0,226133.0,0.0,429128.0,6446095.0,Retail & Ecommerce,mobile
0.32,150.0,3969401.0,1394842.0,226125.0,0.0,428596.0,2553238.0,Retail & Ecommerce,mobile
0.4,150.0,33365036.0,30711809.0,266102.0,0.0,510356.0,32046904.0,Retail & Ecommerce,mobile
0.58,150.0,2818525.0,210806.0,226127.0,0.0,511388.0,1472171.0,Retail & Ecommerce,mobile
0.46,150.0,2742014.0,91288.0,226127.0,0.0,511271.0,1454890.0,Retail & Ecommerce,mobile
0.41,2850.0,2621896.0,215178.0,226141.0,0.0,428440.0,1370716.0,Retail & Ecommerce,mobile
0.52,300.0,2896916.0,313157.0,226127.0,0.0,509273.0,1609582.0,Retail & Ecommerce,mobile
0.35,0.0,3606626.0,925319.0,266111.0,0.0,511002.0,2277082.0,Retail & Ecommerce,mobile
0.57,0.0,2370060.0,1344628.0,686075.0,600.0,0.0,491369.0,Retail & Ecommerce,mobile
0.49,2280.0,6871943.0,2315254.0,759536.0,450.0,638029.0,3311728.0,Retail & Ecommerce,mobile
0.6,3600.0,7280934.0,2911090.0,759163.0,450.0,626048.0,3316959.0,Retail & Ecommerce,mobile
0.59,0.0,3301706.0,2453684.0,547428.0,450.0,0.0,292038.0,Retail & Ecommerce,mobile
0.58,0.0,3096684.0,2224112.0,548416.0,450.0,0.0,292258.0,Retail & Ecommerce,mobile
0.58,0.0,1653820.0,694300.0,773389.0,450.0,0.0,589666.0,Retail & Ecommerce,mobile
0.61,2410.0,6891138.0,2527581.0,759611.0,300.0,626899.0,4461407.0,Retail & Ecommerce,mobile
0.6,0.0,2709095.0,695228.0,773041.0,300.0,0.0,831418.0,Retail & Ecommerce,mobile
0.57,0.0,1800793.0,754349.0,722624.0,600.0,0.0,713349.0,Retail & Ecommerce,mobile
0.57,0.0,1795799.0,684979.0,772732.0,600.0,0.0,857185.0,Retail & Ecommerce,mobile
0.31,1510.0,74625767.0,3937636.0,133347.0,300.0,1199127.0,70628888.0,Automotive,mobile
0.29,2400.0,6271117.0,1139226.0,183372.0,0.0,1244027.0,4356977.0,Retail & Ecommerce,mobile
0.06,750.0,6603384.0,761536.0,266520.0,0.0,1243632.0,3946957.0,Retail & Ecommerce,mobile
0.06,900.0,6721148.0,891549.0,266519.0,0.0,1257675.0,3920612.0,Retail & Ecommerce,mobile
0.32,620.0,5427549.0,268202.0,169886.0,0.0,1240019.0,3237757.0,Retail & Ecommerce,mobile
0.15,750.0,5983063.0,588495.0,266481.0,0.0,1115933.0,3616118.0,Retail & Ecommerce,mobile
0.52,150.0,5473100.0,315108.0,169882.0,0.0,1239362.0,3237422.0,Retail & Ecommerce,mobile
0.31,9510.0,6611302.0,442033.0,207061.0,310.0,1946281.0,4621807.0,Retail & Ecommerce,mobile
0.3,2100.0,5405818.0,249505.0,169861.0,0.0,1239308.0,3238445.0,Retail & Ecommerce,mobile
0.37,300.0,5194068.0,107832.0,169874.0,0.0,1242115.0,3210169.0,Retail & Ecommerce,mobile
0.35,5100.0,4444065.0,872700.0,238209.0,570.0,1322234.0,2314297.0,Retail & Ecommerce,mobile
0.6,150.0,2007933.0,61881.0,234020.0,0.0,540931.0,1514295.0,Food & Hospitality,mobile
0.11,2340.0,23463532.0,14423569.0,439959.0,0.0,3246827.0,8384191.0,Food & Hospitality,mobile
0.65,2250.0,2275435.0,482731.0,178762.0,0.0,601325.0,1342863.0,Food & Hospitality,mobile
0.74,0.0,2147731.0,766910.0,96499.0,150.0,604052.0,1501922.0,Food & Hospitality,mobile
0.28,2380.0,12595297.0,7766469.0,84404.0,450.0,1246089.0,4560867.0,Food & Hospitality,mobile
0.29,900.0,5503202.0,1342608.0,84404.0,300.0,1188698.0,3839247.0,Food & Hospitality,mobile
0.26,2660.0,15869721.0,1376598.0,84404.0,290.0,3027718.0,14382036.0,Food & Hospitality,mobile
0.26,1260.0,15445700.0,1780265.0,84404.0,150.0,1692366.0,13452847.0,Food & Hospitality,mobile
0.6,2400.0,1725156.0,123853.0,517928.0,0.0,530672.0,944733.0,Food & Hospitality,mobile
0.61,2100.0,2211914.0,459904.0,456084.0,0.0,870584.0,1062195.0,Food & Hospitality,mobile
